minecraft,en_us,zh_cn
@woods,@Woods,@木材
stripped_cherry_log,Stripped Cherry Log,去皮樱花原木
stripped_cherry_wood,Stripped Cherry Wood,去皮樱花木
cherry_log,Cherry Log,樱花原木
cherry_wood,Cherry Wood,樱花木
cherry_planks,Cherry Planks,樱花木板
cherry_slab,Cherry Slab,樱花木台阶
cherry_stairs,Cherry Stairs,樱花木楼梯
cherry_trapdoor,Cherry Trapdoor,樱花木活板门
cherry_door,Cherry Door,樱花木门
cherry_fence,Cherry Fence,樱花木栅栏
cherry_fence_gate,Cherry Fence Gate,樱花木栅栏门
cherry_shelf,Cherry Shelf,樱花木展示架
cherry_sign,Cherry Sign,樱花木告示牌
cherry_hanging_sign,Cherry Hanging Sign,悬挂式樱花木告示牌
cherry_wall_sign,Cherry Wall Sign,墙上的樱花木告示牌
cherry_wall_hanging_sign,Cherry Wall Hanging Sign,墙上的悬挂式樱花木告示牌
cherry_button,Cherry Button,樱花木按钮
cherry_pressure_plate,Cherry Pressure Plate,樱花木压力板
,,
stripped_acacia_log,Stripped Acacia Log,去皮金合欢原木
stripped_acacia_wood,Stripped Acacia Wood,去皮金合欢木
acacia_log,Acacia Log,金合欢原木
acacia_wood,Acacia Wood,金合欢木
acacia_planks,Acacia Planks,金合欢木板
acacia_slab,Acacia Slab,金合欢木台阶
acacia_stairs,Acacia Stairs,金合欢木楼梯
acacia_trapdoor,Acacia Trapdoor,金合欢木活板门
acacia_door,Acacia Door,金合欢木门
acacia_fence,Acacia Fence,金合欢木栅栏
acacia_fence_gate,Acacia Fence Gate,金合欢木栅栏门
acacia_shelf,Acacia Shelf,金合欢木展示架
acacia_sign,Acacia Sign,金合欢木告示牌
acacia_hanging_sign,Acacia Hanging Sign,悬挂式金合欢木告示牌
acacia_wall_sign,Acacia Wall Sign,墙上的金合欢木告示牌
acacia_wall_hanging_sign,Acacia Wall Hanging Sign,墙上的悬挂式金合欢木告示牌
acacia_button,Acacia Button,金合欢木按钮
acacia_pressure_plate,Acacia Pressure Plate,金合欢木压力板
,,
stripped_pale_oak_log,Stripped Pale Oak Log,去皮苍白橡木原木
stripped_pale_oak_wood,Stripped Pale Oak Wood,去皮苍白橡木
pale_oak_log,Pale Oak Log,苍白橡木原木
pale_oak_wood,Pale Oak Wood,苍白橡木
pale_oak_planks,Pale Oak Planks,苍白橡木木板
pale_oak_slab,Pale Oak Slab,苍白橡木台阶
pale_oak_stairs,Pale Oak Stairs,苍白橡木楼梯
pale_oak_trapdoor,Pale Oak Trapdoor,苍白橡木活板门
pale_oak_door,Pale Oak Door,苍白橡木门
pale_oak_fence,Pale Oak Fence,苍白橡木栅栏
pale_oak_fence_gate,Pale Oak Fence Gate,苍白橡木栅栏门
pale_oak_shelf,Pale Oak Shelf,苍白橡木展示架
pale_oak_sign,Pale Oak Sign,苍白橡木告示牌
pale_oak_hanging_sign,Pale Oak Hanging Sign,悬挂式苍白橡木告示牌
pale_oak_wall_sign,Pale Oak Wall Sign,墙上的苍白橡木告示牌
pale_oak_wall_hanging_sign,Pale Oak Wall Hanging Sign,墙上的悬挂式苍白橡木告示牌
